Organism                                                      Scaffold              Start    End      Score  LLS_Dehydrogenase  LLS_E1-like  LLS_LlsA  LLS_YcaO
Listeria monocytogenes                                        DAAKRF010000001.1     1683542  1686649  4.21   1                  1            0         1       
Listeria monocytogenes                                        DAAKTS010000001.1     111823   117135   5.22   1                  1            1         1       
Listeria monocytogenes                                        DAALMJ010000031.1     137      5449     5.22   1                  1            1         1       
Listeria monocytogenes                                        DAALLG010000002.1     18418    23730    5.22   1                  1            1         1       
Listeria monocytogenes                                        DAALMG010000020.1     67       5379     5.22   1                  1            1         1       
Listeria monocytogenes                                        DAALQY010000035.1     917      3643     4.18   1                  1            0         1       
Listeria monocytogenes                                        DAALPD010000001.1     115219   120531   5.22   1                  1            1         1       
Listeria monocytogenes                                        DAEUUS010000001.1     3678     8990     5.22   1                  1            1         1       
Listeria monocytogenes                                        DAEUUU010000015.1     69       5381     5.22   1                  1            1         1       
Listeria monocytogenes                                        DAEVFO010000001.1     580522   585837   5.21   1                  1            1         1       
Listeria monocytogenes                                        DAEVJI010000004.1     238      5553     5.21   1                  1            1         1       
Listeria monocytogenes                                        DAEVJS010000001.1     591392   596704   5.22   1                  1            1         1       
Listeria monocytogenes                                        DAEYXX010000062.1     256      3363     4.21   1                  1            0         1       
Listeria monocytogenes                                        DAEYYK010000077.1     1079     4186     4.21   1                  1            0         1       
Listeria monocytogenes                                        DAEZBA010000001.1     18418    23730    3.16   1                  0            1         1       
Listeria monocytogenes                                        DAEZET010000028.1     21427    26739    5.22   1                  1            1         1       
Listeria monocytogenes                                        DAEZLO010000022.1     24499    29811    5.22   1                  1            1         1       
Listeria monocytogenes                                        DAEZVE010000050.1     0        5302     5.21   1                  1            1         1       
Listeria monocytogenes                                        DAEZWT010000060.1     81       4021     4.12   1                  1            1         0       
Listeria monocytogenes                                        DAEZWS010000037.1     24491    28056    4.10   1                  1            1         0       
Listeria monocytogenes                                        DAFFRW010000001.1     18418    23730    5.22   1                  1            1         1       
Listeria monocytogenes                                        DAFFZP010000014.1     24509    29821    5.22   1                  1            1         1       
Listeria monocytogenes                                        DAFGXF010000003.1     18419    23731    5.22   1                  1            1         1       
Listeria monocytogenes                                        DAFJFM010000001.1     0        3577     4.10   1                  1            1         0       
Listeria monocytogenes                                        DAMYRL010000009.1     0        3755     4.11   1                  1            1         0       
Listeria monocytogenes                                        DAPCGR010000001.1     593330   598625   3.16   1                  0            1         1       
Listeria monocytogenes                                        DAPCHG010000001.1     18419    23731    5.22   1                  1            1         1       
Listeria monocytogenes                                        DAPCUY010000140.1     341      3448     4.21   1                  1            0         1       
Listeria monocytogenes                                        DAPCVB010000066.1     6008     10808    5.18   1                  1            1         1       
Listeria monocytogenes                                        DAPCVA010000074.1     178      3730     4.10   1                  1            1         0       
Listeria monocytogenes                                        DAPCWG010000098.1     472      5372     5.19   1                  1            1         1       
Listeria monocytogenes                                        DAPELZ010000004.1     245      4251     4.13   1                  1            1         0       
Listeria monocytogenes                                        DAPEMW010000037.1     17712    22675    5.19   1                  1            1         1       
Listeria monocytogenes                                        DAPENP010000016.1     70567    74573    4.13   1                  1            1         0       
Listeria monocytogenes                                        DAPEXK010000027.1     181      5108     5.19   1                  1            1         1       
Listeria monocytogenes                                        DAPXEP010000060.1     139      3967     4.12   1                  1            1         0       
Listeria monocytogenes                                        AAASDV010000074.1     467      3574     4.21   1                  1            0         1       
Listeria monocytogenes                                        AAASEC010000058.1     69       5381     5.22   1                  1            1         1       
Listeria monocytogenes                                        AAASRO010000006.1     18433    23745    5.22   1                  1            1         1       
Listeria monocytogenes                                        DAABPY010000001.1     114716   119990   3.16   1                  0            1         1       
Listeria monocytogenes                                        DAEYZC010000016.1     24504    29816    5.22   1                  1            1         1       
Listeria monocytogenes                                        ABADJU010000001.1     591909   597221   5.22   1                  1            1         1       
Listeria monocytogenes                                        DAAFCX010000018.1     162      4168     4.13   1                  1            1         0       
Listeria monocytogenes                                        DAALDV010000001.1     114729   120041   5.22   1                  1            1         1       
Listeria monocytogenes                                        ABADKS010000001.1     593502   598814   5.22   1                  1            1         1       
Listeria monocytogenes                                        NZ_LT985475.1         1127142  1132454  5.22   1                  1            1         1       
Listeria monocytogenes                                        AAARZU010000007.1     21481    26800    3.16   1                  0            1         1       
Listeria monocytogenes                                        AAASPT010000001.1     3844     9155     5.22   1                  1            1         1       
Listeria monocytogenes                                        AAAWKE010000001.1     629782   635094   5.22   1                  1            1         1       
Listeria monocytogenes                                        ABADJS010000001.1     587587   592899   5.22   1                  1            1         1       
Listeria monocytogenes                                        DAACGF010000007.1     119089   123094   4.13   1                  1            1         0       
Listeria monocytogenes                                        DAAKSQ010000018.1     103      5415     5.22   1                  1            1         1       
Listeria monocytogenes                                        DAALLO010000021.1     481      3588     4.21   1                  1            0         1       
Listeria monocytogenes                                        DAALPC010000001.1     2180456  2185762  5.21   1                  1            1         1       
Listeria monocytogenes                                        DAPEMO010000001.1     3844     9156     5.22   1                  1            1         1       
Listeria monocytogenes                                        AAAVQC010000001.1     591398   596710   5.22   1                  1            1         1       
Listeria monocytogenes                                        AAAXAO010000001.1     3010     8322     5.22   1                  1            1         1       
Listeria monocytogenes                                        DAABXY010000001.1     606067   611379   5.22   1                  1            1         1       
Listeria monocytogenes                                        DAADOG010000001.1     605162   610474   5.22   1                  1            1         1       
Listeria monocytogenes                                        DAFFSN010000041.1     179      5491     5.22   1                  1            1         1       
Listeria monocytogenes                                        DACBUS010000001.1     292506   297818   5.22   1                  1            1         1       
Listeria monocytogenes                                        DAEZLR010000003.1     18419    23731    5.22   1                  1            1         1       
Listeria monocytogenes                                        DAABUY010000001.1     566397   571709   5.22   1                  1            1         1       
Listeria monocytogenes                                        DAABYN010000001.1     116526   121838   5.21   1                  1            1         1       
Listeria monocytogenes                                        DAALCR010000009.1     128288   133599   3.16   1                  0            1         1       
Listeria monocytogenes                                        DAFISH010000056.1     1561     4668     4.21   1                  1            0         1       
Listeria monocytogenes                                        DAFJFG010000012.1     66406    70412    4.13   1                  1            1         0       
Listeria monocytogenes                                        DAEYXD010000031.1     79       5391     5.22   1                  1            1         1       
Listeria monocytogenes                                        DAEZOD010000002.1     80406    85718    5.22   1                  1            1         1       
Listeria monocytogenes                                        DAALQV010000069.1     410      3517     4.21   1                  1            0         1       
Listeria monocytogenes                                        DAALRB010000036.1     623      5935     5.22   1                  1            1         1       
Listeria monocytogenes                                        DAFIYE010000053.1     517      3624     4.21   1                  1            0         1       
Listeria monocytogenes                                        DAEUTK010000001.1     146801   152114   3.16   1                  0            1         1       
Listeria monocytogenes                                        DAEVFM010000002.1     114825   120137   5.22   1                  1            1         1       
Listeria monocytogenes                                        DAEVBL010000019.1     24493    29805    5.22   1                  1            1         1       
Listeria monocytogenes                                        ABADKX010000001.1     116376   121688   5.22   1                  1            1         1       
Listeria monocytogenes                                        DAADSB010000002.1     193135   198448   5.22   1                  1            1         1       
Listeria monocytogenes                                        DABKGV010000006.1     144752   150064   5.22   1                  1            1         1       
Listeria monocytogenes                                        DAADJP010000001.1     307349   312659   3.16   1                  0            1         1       
Listeria monocytogenes                                        DAEZRP010000048.1     167      3751     4.10   1                  1            1         0       
Listeria monocytogenes                                        NZ_LR999860.1         1182011  1187323  5.22   1                  1            1         1       
Listeria monocytogenes                                        LR999860.1            1184216  1187323  4.21   1                  1            0         1       
Listeria monocytogenes                                        AAARMQ010000001.1     620894   626206   5.22   1                  1            1         1       
Listeria monocytogenes                                        AAASHV010000001.1     621339   626651   5.22   1                  1            1         1       
Listeria monocytogenes                                        AAAXJR010000001.1     621927   627239   5.22   1                  1            1         1       
Listeria monocytogenes                                        ABEUWE010000007.1     195763   201074   3.16   1                  0            1         1       
Listeria monocytogenes                                        DAABUL010000001.1     593026   598338   5.22   1                  1            1         1       
Listeria monocytogenes                                        DAACRI010000001.1     621936   627248   5.22   1                  1            1         1       
Listeria monocytogenes                                        DAPCMC010000001.1     621766   627078   5.22   1                  1            1         1       
Listeria monocytogenes                                        DAABUS010000001.1     621389   626701   5.22   1                  1            1         1       
Listeria monocytogenes                                        DAACKJ010000011.1     32419    37731    5.22   1                  1            1         1       
Listeria monocytogenes                                        DAPCVY010000177.1     0        2418     4.16   1                  1            0         1       
Listeria monocytogenes                                        DAPEZD010000015.1     0        3034     4.20   1                  1            0         1       
Listeria monocytogenes                                        DAFIRO010000042.1     0        3030     4.20   1                  1            0         1       
Listeria monocytogenes                                        DAFIZX010000050.1     199      3217     4.20   1                  1            0         1       
Listeria monocytogenes                                        DAEYYV010000034.1     0        3015     4.20   1                  1            0         1       
Listeria monocytogenes                                        DAPFAM010000043.1     0        3019     4.20   1                  1            0         1       
Listeria monocytogenes                                        DAAFJX010000042.1     0        2451     4.17   1                  1            0         1       
Listeria monocytogenes                                        DABKIR010000009.1     150412   153404   4.20   1                  1            0         1       
Listeria monocytogenes                                        AAASBN010000093.1     0        2982     4.20   1                  1            0         1       
Listeria monocytogenes                                        NZ_CWLA01000060.1     0        2978     4.20   1                  1            0         1       
Listeria monocytogenes                                        DAEZPC010000047.1     0        2971     4.20   1                  1            0         1       
Listeria monocytogenes                                        DABKOA010000055.1     261      3224     4.20   1                  1            0         1       
Listeria monocytogenes                                        DAEZCT010000013.1     0        2947     4.20   1                  1            0         1       
Listeria monocytogenes                                        DAEZFY010000093.1     98       3045     4.20   1                  1            0         1       
Listeria monocytogenes                                        DAFJAF010000051.1     0        2937     4.20   1                  1            0         1       
Listeria monocytogenes                                        DAHHNB010000080.1     173      3103     4.20   1                  1            0         1       
Listeria monocytogenes                                        DAALQW010000050.1     261      3180     4.20   1                  1            0         1       
Listeria monocytogenes                                        DAEZDS010000051.1     0        2917     4.20   1                  1            0         1       
Listeria monocytogenes                                        DAEZJG010000024.1     0        2914     4.20   1                  1            0         1       
Listeria monocytogenes                                        DAPCSP010000031.1     8        2915     4.20   1                  1            0         1       
Listeria monocytogenes                                        DABKQD010000085.1     193      3096     4.20   1                  1            0         1       
Listeria monocytogenes                                        DAPXFD010000036.1     193      3107     4.20   1                  1            0         1       
Listeria monocytogenes                                        DAEZWI010000037.1     0        2895     4.20   1                  1            0         1       
Listeria monocytogenes                                        DAPCTP010000021.1     0        2892     4.20   1                  1            0         1       
Listeria monocytogenes                                        DAALGH010000011.1     0        2877     4.19   1                  1            0         1       
Listeria monocytogenes                                        DAEYXU010000046.1     257      3133     4.19   1                  1            0         1       
Listeria monocytogenes                                        DAEZRB010000041.1     0        2878     4.19   1                  1            0         1       
Listeria monocytogenes                                        DAFHBP010000108.1     0        2324     4.16   1                  1            0         1       
Listeria monocytogenes                                        DAFGGN010000045.1     0        2516     4.17   1                  1            0         1       
Listeria monocytogenes                                        DAALRG010000061.1     2174     5041     4.19   1                  1            0         1       
Listeria monocytogenes                                        DABKLH010000050.1     0        2843     4.19   1                  1            0         1       
Listeria monocytogenes                                        DAEZBV010000051.1     259      3100     4.19   1                  1            0         1       
Listeria monocytogenes                                        DABKHH010000075.1     94       2927     4.19   1                  1            0         1       
Listeria monocytogenes                                        DAPXEW010000049.1     204      3036     4.19   1                  1            0         1       
Listeria monocytogenes                                        DAPERE010000033.1     0        2822     4.19   1                  1            0         1       
Listeria monocytogenes                                        DAEZOW010000072.1     248      3033     4.19   1                  1            0         1       
Listeria monocytogenes                                        DAALRF010000090.1     267      3052     4.19   1                  1            0         1       
Listeria monocytogenes                                        DAEZDW010000026.1     0        2772     4.19   1                  1            0         1       
Listeria monocytogenes                                        DAEZBX010000093.1     0        2757     4.19   1                  1            0         1       
Listeria monocytogenes                                        DAEZCX010000062.1     221      2978     4.19   1                  1            0         1       
Listeria monocytogenes                                        DAEZQM010000095.1     269      3020     4.19   1                  1            0         1       
Listeria monocytogenes                                        DABKLM010000086.1     151      2884     4.18   1                  1            0         1       
Listeria monocytogenes                                        DAPXFV010000062.1     151      2858     4.18   1                  1            0         1       
Listeria monocytogenes                                        DAEZVY010000065.1     233      2929     4.18   1                  1            0         1       
Listeria monocytogenes                                        DAEZEY010000008.1     22564    27875    4.16   0                  1            1         1       
Listeria monocytogenes                                        DAEZFK010000003.1     18419    23731    4.16   0                  1            1         1       
Listeria monocytogenes                                        AAARKN010000001.1     620780   625968   4.16   0                  1            1         1       
Listeria monocytogenes                                        DAALPE010000001.1     591392   596580   4.16   0                  1            1         1       
Listeria monocytogenes                                        DAEVCD010000001.1     21250    26562    4.16   0                  1            1         1       
Listeria monocytogenes                                        DABKPY010000001.1     746260   751576   4.15   0                  1            1         1       
Listeria monocytogenes LM05-00008                             NZ_CYUP01000003.1     22627    27939    5.22   1                  1            1         1       
Listeria monocytogenes LM05-00008                             CYUP01000003.1        24832    27939    4.21   1                  1            0         1       
Listeria monocytogenes LM05-00172                             NZ_CYUS01000003.1     22799    28111    5.22   1                  1            1         1       
Listeria monocytogenes LM05-00172                             CYUS01000003.1        25004    28111    4.21   1                  1            0         1       
Listeria monocytogenes LM07-00596                             NZ_CYVI01000003.1     22627    27939    5.22   1                  1            1         1       
Listeria monocytogenes LM07-00596                             CYVI01000003.1        24832    27939    4.21   1                  1            0         1       
Listeria monocytogenes LM07-00876                             NZ_CYVL01000006.1     246397   251708   5.22   1                  1            1         1       
Listeria monocytogenes LM07-00876                             CYVL01000006.1        248601   251708   4.21   1                  1            0         1       
Listeria monocytogenes LM07-01067                             NZ_CYVM01000006.1     591638   596950   5.22   1                  1            1         1       
Listeria monocytogenes LM07-01067                             CYVM01000006.1        591638   594745   4.21   1                  1            0         1       
Listeria monocytogenes LM07-00948                             NZ_CYVS01000003.1     18537    23848    5.22   1                  1            1         1       
Listeria monocytogenes LM07-00948                             CYVS01000003.1        18537    21644    4.21   1                  1            0         1       
Listeria monocytogenes LM08-00154                             NZ_CYWD01000003.1     22626    27938    5.22   1                  1            1         1       
Listeria monocytogenes LM08-00154                             CYWD01000003.1        24831    27938    4.21   1                  1            0         1       
Listeria monocytogenes LM08-01516                             NZ_CYWK01000002.1     119583   124895   5.22   1                  1            1         1       
Listeria monocytogenes LM08-01516                             CYWK01000002.1        119583   122690   4.21   1                  1            0         1       
Listeria monocytogenes 2842STDY5753989                        NZ_FFEI01000001.1     581612   586924   5.22   1                  1            1         1       
Listeria monocytogenes 2842STDY5753989                        FFEI01000001.1        583817   586924   4.21   1                  1            0         1       
Listeria monocytogenes 2842STDY5753856                        NZ_FFEO01000001.1     887178   892490   5.22   1                  1            1         1       
Listeria monocytogenes 2842STDY5753856                        FFEO01000001.1        887178   890285   4.21   1                  1            0         1       
Listeria monocytogenes 2842STDY5753863                        NZ_FFER01000001.1     115245   120557   5.22   1                  1            1         1       
Listeria monocytogenes 2842STDY5753863                        FFER01000001.1        115245   118352   4.21   1                  1            0         1       
Listeria monocytogenes 2842STDY5753909                        NZ_FFFD01000001.1     608385   613697   5.22   1                  1            1         1       
Listeria monocytogenes 2842STDY5753909                        FFFD01000001.1        610590   613697   4.21   1                  1            0         1       
Listeria monocytogenes 2842STDY5753911                        NZ_FFFE01000001.1     896841   902153   5.22   1                  1            1         1       
Listeria monocytogenes 2842STDY5753911                        FFFE01000001.1        896841   899948   4.21   1                  1            0         1       
Listeria monocytogenes 2842STDY5753936                        NZ_FFFJ01000001.1     609496   614808   5.22   1                  1            1         1       
Listeria monocytogenes 2842STDY5753936                        FFFJ01000001.1        611701   614808   4.21   1                  1            0         1       
Listeria monocytogenes 2842STDY5753938                        NZ_FFFN01000002.1     617865   623177   5.22   1                  1            1         1       
Listeria monocytogenes 2842STDY5753938                        FFFN01000002.1        620070   623177   4.21   1                  1            0         1       
Listeria monocytogenes 2842STDY5753942                        NZ_FFFP01000001.1     116531   121843   5.22   1                  1            1         1       
Listeria monocytogenes 2842STDY5753942                        FFFP01000001.1        116531   119638   4.21   1                  1            0         1       
Listeria monocytogenes 2842STDY5753947                        NZ_FFFT01000001.1     645936   651248   5.22   1                  1            1         1       
Listeria monocytogenes 2842STDY5753947                        FFFT01000001.1        648141   651248   4.21   1                  1            0         1       
Listeria monocytogenes 2842STDY5753960                        NZ_FFFU01000001.1     145817   151129   5.22   1                  1            1         1       
