Ref_file	Query_file	ANI	Align_fraction_ref	Align_fraction_query	Ref_name	Query_name
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCF_024104455.1_ASM2410445v1_genomic.fna	99.26	92.95	92.92	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	NZ_JAHAVH010000010.1 Staphylococcus lugdunensis strain Q-026 NODE_10_length_75066_cov_60.335339, whole genome shotgun sequence
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCF_000270465.1_ASM27046v1_genomic.fna	99.26	94.70	95.78	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	NC_017353.1 Staphylococcus lugdunensis N920143, complete sequence
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCF_023508855.1_ASM2350885v1_genomic.fna	99.65	95.52	94.75	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	NZ_CP048007.1 Staphylococcus lugdunensis strain CGMH-SL131 chromosome, complete genome
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_032549705.1_ASM3254970v1_genomic.fna	99.43	92.55	95.47	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	JAWGAS010000023.1 MAG: Staphylococcus lugdunensis isolate N1_009_006G1_dasN1_009_006G1_abawaca.15 b009-d006_scaffold_102, whole genome shotgun sequence
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCF_022689425.1_ASM2268942v1_genomic.fna	99.26	92.74	95.67	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	NZ_JALCXI010000010.1 Staphylococcus lugdunensis strain acrnf NODE_10_length_104618_cov_51.286653_pilon, whole genome shotgun sequence
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_032470755.1_ASM3247075v1_genomic.fna	99.30	93.53	93.84	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	JAWEJO010000001.1 MAG: Staphylococcus lugdunensis isolate N4_207_000G1_dasN4_207_000G1_abawaca.59 N4_207_000G1_scaffold_1, whole genome shotgun sequence
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCF_022689285.1_ASM2268928v1_genomic.fna	99.26	92.71	95.65	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	NZ_JALCXQ010000010.1 Staphylococcus lugdunensis strain acrnh NODE_10_length_84047_cov_44.140872_pilon, whole genome shotgun sequence
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCF_022569235.1_ASM2256923v1_genomic.fna	99.60	94.65	98.60	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	NZ_JAKRKT010000001.1 Staphylococcus lugdunensis strain IVK28 SHJJP890401, whole genome shotgun sequence
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCF_022569095.1_ASM2256909v1_genomic.fna	99.12	94.12	98.21	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	NZ_JAKRKN010000001.1 Staphylococcus lugdunensis strain D4-9 SHJJP891101, whole genome shotgun sequence
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCF_022568915.1_ASM2256891v1_genomic.fna	99.11	94.42	97.35	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	NZ_JAKRKF010000001.1 Staphylococcus lugdunensis strain P5-13 SHJJP891901, whole genome shotgun sequence
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCF_011403135.1_ASM1140313v1_genomic.fna	99.65	95.52	93.31	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	NZ_AP021848.1 Staphylococcus lugdunensis strain JICS135 chromosome, complete genome
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCF_008728735.1_ASM872873v1_genomic.fna	99.12	94.80	94.84	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	NZ_CP041724.1 Staphylococcus lugdunensis strain SL55 chromosome, complete genome
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCF_900478255.1_34211_E02_genomic.fna	99.26	94.17	97.32	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	NZ_LS483482.1 Staphylococcus lugdunensis strain NCTC12217 chromosome 1, complete sequence
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCF_002104555.1_ASM210455v1_genomic.fna	99.21	95.25	93.76	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	NZ_CP020769.1 Staphylococcus lugdunensis strain VISLISI_33 chromosome
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCF_026427495.1_ASM2642749v1_genomic.fna	99.17	95.46	92.48	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	NZ_CP084440.1 Staphylococcus lugdunensis strain RMLUG4 chromosome, complete genome
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCF_002096075.1_ASM209607v1_genomic.fna	99.26	94.66	96.35	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	NZ_CP020761.1 Staphylococcus lugdunensis strain VISLISI_37 chromosome
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCF_024104475.1_ASM2410447v1_genomic.fna	99.26	92.82	95.74	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	NZ_JAHAVI010000010.1 Staphylococcus lugdunensis strain K-015 NODE_10_length_108092_cov_63.810744, whole genome shotgun sequence
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCF_000316075.2_Stap_lugd_ACS-027-V-Sch2_V1_genomic.fna	99.26	94.69	95.21	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	NZ_KB373322.1 Staphylococcus lugdunensis ACS-027-V-Sch2 supercont1.1, whole genome shotgun sequence
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCF_023508875.1_ASM2350887v1_genomic.fna	99.65	95.52	95.52	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	NZ_CP048713.1 Staphylococcus lugdunensis strain CGMH-SL138 chromosome, complete genome
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_032564175.1_ASM3256417v1_genomic.fna	99.87	89.68	96.12	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	JAWHHQ010000001.1 MAG: Staphylococcus lugdunensis isolate N4_124_007G1_dasN4_124_007G1_abawaca.30 N4_124_007G1_scaffold_136, whole genome shotgun sequence
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCF_022689445.1_ASM2268944v1_genomic.fna	99.26	92.69	95.70	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	NZ_JALCXJ010000010.1 Staphylococcus lugdunensis strain acrny NODE_10_length_106320_cov_40.594496_pilon, whole genome shotgun sequence
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_032475195.1_ASM3247519v1_genomic.fna	100.00	95.94	88.16	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	JAWEBE010000001.1 MAG: Staphylococcus lugdunensis isolate N4_155_006G1_dasN4_155_006G1_abawaca.29 N4_155_006G1_scaffold_23, whole genome shotgun sequence
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCF_022689325.1_ASM2268932v1_genomic.fna	99.26	94.37	94.50	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	NZ_JALCXM010000010.1 Staphylococcus lugdunensis strain acrnj NODE_10_length_38874_cov_55.474599_pilon, whole genome shotgun sequence
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCF_022569275.1_ASM2256927v1_genomic.fna	99.26	94.61	94.34	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	NZ_JAKRKV010000001.1 Staphylococcus lugdunensis strain 12-3 SHJJP890201, whole genome shotgun sequence
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCF_022569135.1_ASM2256913v1_genomic.fna	99.17	92.58	94.40	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	NZ_JAKRKO010000001.1 Staphylococcus lugdunensis strain E1-36 SHJJP891001, whole genome shotgun sequence
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCF_022568935.1_ASM2256893v1_genomic.fna	99.21	93.82	97.36	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	NZ_JAKRKD010000001.1 Staphylococcus lugdunensis strain D2-12 SHJJP892101, whole genome shotgun sequence
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCF_014962425.1_ASM1496242v1_genomic.fna	99.61	95.07	97.20	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	NZ_CP063143.1 Staphylococcus lugdunensis strain IVK28 chromosome, complete genome
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCF_008728755.1_ASM872875v1_genomic.fna	99.26	94.55	93.60	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	NZ_CP041725.1 Staphylococcus lugdunensis strain SL117 chromosome, complete genome
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCF_002250095.2_ASM225009v2_genomic.fna	99.65	95.52	97.04	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	NZ_CP017069.2 Staphylococcus lugdunensis strain K93G chromosome, complete genome
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCF_026427515.1_ASM2642751v1_genomic.fna	99.30	94.71	94.82	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	NZ_CP084443.1 Staphylococcus lugdunensis strain RMLUG5 chromosome, complete genome
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCF_002096115.1_ASM209611v1_genomic.fna	99.63	94.98	97.94	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	NZ_CP020762.1 Staphylococcus lugdunensis strain VISLISI_21 chromosome
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCF_024104495.1_ASM2410449v1_genomic.fna	99.26	93.00	92.95	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	NZ_JAHAVJ010000010.1 Staphylococcus lugdunensis strain K-060 NODE_10_length_108120_cov_52.488828, whole genome shotgun sequence
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCF_000649085.1_gslvcu150v01_genomic.fna	99.17	93.41	96.70	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	NZ_JIBS01000001.1 Staphylococcus lugdunensis VCU150 contig00012, whole genome shotgun sequence
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCF_024104375.1_ASM2410437v1_genomic.fna	99.26	91.98	95.30	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	NZ_JAHAVD010000010.1 Staphylococcus lugdunensis strain Q-087 NODE_10_length_84188_cov_114.534517, whole genome shotgun sequence
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_032564755.1_ASM3256475v1_genomic.fna	99.26	94.39	92.34	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	JAWHHA010000001.1 MAG: Staphylococcus lugdunensis isolate N4_116_010G1_dasN4_116_010G1_abawaca.13 N4_116_010G1_scaffold_0, whole genome shotgun sequence
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCF_022689465.1_ASM2268946v1_genomic.fna	99.26	92.76	95.68	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	NZ_JALCXH010000010.1 Staphylococcus lugdunensis strain acrne NODE_10_length_107933_cov_40.300122_pilon, whole genome shotgun sequence
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_032486635.1_ASM3248663v1_genomic.fna	99.67	94.09	91.03	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	JAWEKW010000001.1 MAG: Staphylococcus lugdunensis isolate N4_210_000G1_dasN4_210_000G1_abawaca.21 N4_210_000G1_scaffold_36, whole genome shotgun sequence
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCF_022689335.1_ASM2268933v1_genomic.fna	99.31	94.10	95.86	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	NZ_JALCXN010000010.1 Staphylococcus lugdunensis strain acrnw NODE_10_length_57338_cov_57.215766_pilon, whole genome shotgun sequence
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCF_022689125.1_ASM2268912v1_genomic.fna	99.26	92.79	95.76	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	NZ_JALCXY010000010.1 Staphylococcus lugdunensis strain acrnn NODE_10_length_109949_cov_44.460745_pilon, whole genome shotgun sequence
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCF_022569155.1_ASM2256915v1_genomic.fna	99.21	92.44	93.45	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	NZ_JAKRKP010000001.1 Staphylococcus lugdunensis strain P2-40 SHJJP890901, whole genome shotgun sequence
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCF_022568975.1_ASM2256897v1_genomic.fna	99.37	95.71	97.23	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	NZ_JAKRKH010000001.1 Staphylococcus lugdunensis strain E1-48 SHJJP891701, whole genome shotgun sequence
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCF_016804245.1_ASM1680424v1_genomic.fna	99.65	95.51	96.22	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	NZ_CP060160.1 Staphylococcus lugdunensis strain MBAZ2 chromosome, complete genome
/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCA_023712745.1_ASM2371274v1_genomic.fna	/vsc-hard-mounts/leuven-data/350/vsc35068/IBP/data/genomes/all/GCF_008728775.1_ASM872877v1_genomic.fna	99.12	94.71	95.23	JAMAXP010000010.1 Staphylococcus lugdunensis strain MSL 259.1 NODE_10_length_59346_cov_57.301322, whole genome shotgun sequence	NZ_CP041726.1 Staphylococcus lugdunensis strain SL118 chromosome, complete genome
