Organism,Scaffold,Start,End,Score,WP_338009895.1,WP_006328028.1,WP_020439796.1,WP_006328024.1,WP_006328022.1
compost metagenome,RCUM01000099.1,37336,53502,10.10,1,1,1,1,1,
Salmonella enterica subsp. enterica serovar Java AUSMDU00083694,DAXZUB010000004.1,34559,50710,10.09,1,1,1,1,1,
Salmonella enterica PNUSAS288665,ABHOKZ010000006.1,232113,248279,10.08,1,1,1,1,1,
Serratia sp. AS12,NC_015566.1,4598148,4614344,10.08,1,1,1,1,1,
Serratia sp. AS12,CP002774.1,4598148,4614311,10.08,1,1,1,1,1,
Serratia sp. AS13,NC_017573.1,4597699,4613895,10.08,1,1,1,1,1,
Serratia sp. AS13,CP002775.1,4597699,4613862,10.08,1,1,1,1,1,
Serratia sp. PAMC26656,NZ_JAEHKA010000024.1,56443,72600,10.08,1,1,1,1,1,
Photorhabdus khanii,NZ_CAWOZU010000019.1,97454,111462,5.66,1,1,1,0,0,
Photorhabdus khanii HGB 1456,NZ_WHZZ01000004.1,97454,111462,5.66,1,1,1,0,0,
Photorhabdus khanii NC19,NZ_AYSJ01000015.1,323161,337163,5.66,1,1,1,0,0,
Photorhabdus stackebrandtii,NZ_CAWPIE010000004.1,86154,100156,5.66,1,1,1,0,0,
Photorhabdus stackebrandtii DSM 23271,NZ_PUJV01000004.1,86154,100156,5.66,1,1,1,0,0,
Photorhabdus tasmaniensis,NZ_CAWPIF010000001.1,63730,77755,5.66,1,1,1,0,0,
Photorhabdus tasmaniensis T327,NZ_PUJU01000001.1,63730,77755,5.66,1,1,1,0,0,
Photorhabdus temperata FFPRI_2,AP029167.2,1022319,1036329,5.66,1,1,1,0,0,
Photorhabdus temperata Hm,MBJU01000119.1,88786,102788,5.66,1,1,1,0,0,
Photorhabdus temperata DSM 14550,NZ_JAJAFX010000017.1,16803,30807,5.66,1,1,1,0,0,
Photorhabdus temperata J3,NZ_AXDT01000114.1,1038,14275,5.60,1,1,1,0,0,
Photorhabdus khanii NC19,NZ_CAWLWK010000015.1,323161,337163,5.66,1,1,1,0,0,
Photorhabdus temperata subsp. temperata Meg1,NZ_CAWLUD010000018.1,714,14718,5.66,1,1,1,0,0,
Photorhabdus temperata subsp. temperata Meg1,NZ_JGVH01000018.1,714,14718,5.66,1,1,1,0,0,
Photorhabdus temperata subsp. temperata M1021,NZ_AUXQ01000024.1,17007,30068,5.57,1,1,1,0,0,
Photorhabdus thracensis,NZ_CAWQPG010000362.1,625,14650,5.66,1,1,1,0,0,
Photorhabdus thracensis PT1.1,NZ_JAGJJU010000099.1,625,14650,5.66,1,1,1,0,0,
Photorhabdus thracensis DSM 15199,NZ_CP011104.1,3151868,3165893,5.66,1,1,1,0,0,
Photorhabdus sp. RM157S,NZ_JBHFKY010000074.1,4459,18484,5.66,1,1,1,0,0,
Photorhabdus sp. CRCIA-P01,NZ_NMQR01000007.1,78914,92910,5.66,1,1,1,0,0,
Photorhabdus sp. RM323S,NZ_JBHFKZ010000019.1,28594,42619,5.65,1,1,1,0,0,
Photorhabdus sp. RM125S,NZ_JBHFKS010000042.1,6183,20170,5.55,1,1,1,0,0,
Photorhabdus antumapuensis,NZ_CAWQMC010000034.1,35890,49898,5.66,1,1,1,0,0,
Photorhabdus antumapuensis UCH-936,NZ_JAHZMK010000033.1,35890,49898,5.66,1,1,1,0,0,
Photorhabdus sp. CRCIA-P01,NZ_CAWOFI010000178.1,78914,92910,5.66,1,1,1,0,0,
Photorhabdus khanii subsp. guanajuatensis,NZ_CAWOJO010000024.1,37648,51640,5.66,1,1,1,0,0,
Photorhabdus khanii subsp. guanajuatensis MEX20-17,NZ_PUJY01000024.1,37648,51640,5.66,1,1,1,0,0,
Photorhabdus temperata J3,NZ_CAWLZT010000114.1,1038,14275,5.60,1,1,1,0,0,
Xenorhabdus bovienii subsp. africana XENO-1,NZ_JAMGSK010000005.1,15304,31887,9.72,1,1,1,1,1,
Serratia microhaemolytica ZS-11,NZ_SBEF01000021.1,39260,55644,9.69,1,1,1,1,1,
Xenorhabdus bovienii intermedium LD_8,NZ_JAILTX010000014.1,47219,63872,9.72,1,1,1,1,1,
Xenorhabdus bovienii intermedium MM_1,NZ_JAILSN010000018.1,55194,71847,9.72,1,1,1,1,1,
Xenorhabdus bovienii intermedium LD_45,NZ_JAILTT010000006.1,43757,60392,9.72,1,1,1,1,1,
Xenorhabdus bovienii intermedium LD_3,NZ_JAILSL010000001.1,49149,65802,9.72,1,1,1,1,1,
Xenorhabdus bovienii intermedium LD_21,NZ_JAILTW010000005.1,159067,175720,9.72,1,1,1,1,1,
Xenorhabdus bovienii intermedium LD_52,NZ_JAILTS010000010.1,57449,74128,9.72,1,1,1,1,1,
Xenorhabdus bovienii,NZ_CAWQUX010000007.1,100093,116740,9.71,1,1,1,1,1,
Xenorhabdus bovienii,NZ_CAWMEF010000001.1,2924841,2941351,9.70,1,1,1,1,1,
Xenorhabdus bovienii,NZ_CAWQRA010000009.1,44360,60870,9.70,1,1,1,1,1,
Xenorhabdus bovienii 18M,NZ_JAKMXG010000007.1,100093,116740,9.71,1,1,1,1,1,
Xenorhabdus bovienii texanum MM_17,NZ_JAILSM010000004.1,87688,104306,9.70,1,1,1,1,1,
Xenorhabdus bovienii kraussei MC_44,NZ_JAILTO010000008.1,76699,93341,9.70,1,1,1,1,1,
Xenorhabdus bovienii MC_200,NZ_JAILTD010000001.1,360242,376872,9.70,1,1,1,1,1,
Xenorhabdus bovienii CS03,NZ_FO818637.1,2924841,2941351,9.70,1,1,1,1,1,
Xenorhabdus bovienii kraussei MC_96,NZ_JAILTE010000019.1,48616,65210,9.70,1,1,1,1,1,
Xenorhabdus bovienii kraussei MC_95,NZ_JAILTF010000020.1,48616,65210,9.70,1,1,1,1,1,
Xenorhabdus bovienii kraussei MC_47,NZ_JAILTN010000017.1,62468,79062,9.70,1,1,1,1,1,
Xenorhabdus bovienii kraussei LD_5,NZ_JAILTY010000018.1,62468,79062,9.70,1,1,1,1,1,
Xenorhabdus bovienii Goncek-1,NZ_JAKMXI010000009.1,44360,60870,9.70,1,1,1,1,1,
Xenorhabdus bovienii texanum MC_250,NZ_JAILSQ010000001.1,17237,33819,9.70,1,1,1,1,1,
Xenorhabdus bovienii MC_241_E_2016,NZ_JAILSR010000001.1,17236,33818,9.70,1,1,1,1,1,
Xenorhabdus bovienii texanum MC_11,NZ_JAILTQ010000001.1,17316,33898,9.70,1,1,1,1,1,
Xenorhabdus bovienii texanum MC_15,NZ_JAILXI010000001.1,17237,33819,9.70,1,1,1,1,1,
Xenorhabdus bovienii T228,NZ_JANAIF010000010.1,6195,22777,9.70,1,1,1,1,1,
Xenorhabdus bovienii affine MC_228,NZ_JAILSV010000009.1,78380,95034,9.70,1,1,1,1,1,
Xenorhabdus bovienii affine MC_78,NZ_JAILTI010000006.1,71412,88066,9.70,1,1,1,1,1,
Xenorhabdus bovienii affine MC_202,NZ_JAILTC010000001.1,176283,192937,9.70,1,1,1,1,1,
Xenorhabdus bovienii affine MC_94,NZ_JAILTG010000001.1,175890,192544,9.70,1,1,1,1,1,
Xenorhabdus bovienii affine MC_66,NZ_JAILTK010000001.1,175890,192544,9.70,1,1,1,1,1,
Xenorhabdus bovienii affine MC_255,NZ_JAILSP010000001.1,414253,430907,9.70,1,1,1,1,1,
Xenorhabdus bovienii affine MC_81,NZ_JAILTH010000001.1,414013,430667,9.70,1,1,1,1,1,
Xenorhabdus bovienii affine MC_52,NZ_JAILTM010000001.1,409999,426653,9.70,1,1,1,1,1,
Xenorhabdus bovienii affine LD_28,NZ_JAILTU010000006.1,119940,136594,9.70,1,1,1,1,1,
Xenorhabdus bovienii MC_235_E_2016,NZ_JAILST010000001.1,388228,404882,9.70,1,1,1,1,1,
Xenorhabdus bovienii affine MC_10,NZ_JAILTR010000002.1,92079,108733,9.70,1,1,1,1,1,
Xenorhabdus bovienii MC_233_E_2016,NZ_JAILSU010000010.1,6624,23278,9.70,1,1,1,1,1,
Xenorhabdus bovienii texanum MC_214,NZ_JAILTA010000013.1,6624,23278,9.70,1,1,1,1,1,
Xenorhabdus bovienii MC_226_F_2016,NZ_JAILSW010000002.1,47042,63696,9.70,1,1,1,1,1,
Xenorhabdus bovienii SS-2004,NC_013892.1,2899495,2915996,9.70,1,1,1,1,1,
Xenorhabdus bovienii texanum MC_19,NZ_JAILTP010000005.1,84714,101380,9.69,1,1,1,1,1,
Xenorhabdus bovienii texanum LD_27A,NZ_JAILTV010000009.1,65265,81931,9.69,1,1,1,1,1,
Xenorhabdus bovienii texanum LD_27B,NZ_JAILXJ010000009.1,65265,81931,9.69,1,1,1,1,1,
Xenorhabdus bovienii affine MC_211,NZ_JAILTB010000002.1,222434,239124,9.56,1,1,1,1,1,
Xenorhabdus bovienii affine MC_216,NZ_JAILSZ010000001.1,228034,244868,9.56,1,1,1,1,1,
Xenorhabdus bovienii affine MC_221,NZ_JAILSX010000001.1,391267,407993,9.56,1,1,1,1,1,
Xenorhabdus bovienii affine MC_218,NZ_JAILSY010000015.1,48397,65159,9.56,1,1,1,1,1,
Xenorhabdus bovienii kraussei MC_59,NZ_JAILTL010000013.1,46103,62793,9.56,1,1,1,1,1,
Xenorhabdus bovienii MC_239_E_2016,NZ_JAILSS010000008.1,15008,31698,9.56,1,1,1,1,1,
Xenorhabdus bovienii kraussei MC_67,NZ_JAILTJ010000013.1,46103,62937,9.56,1,1,1,1,1,
Xenorhabdus bovienii MC_266_E_2016,NZ_JAILSO010000013.1,46103,62865,9.56,1,1,1,1,1,
Xenorhabdus bovienii str. Intermedium,NZ_CAWLWA010000207.1,50852,67505,9.72,1,1,1,1,1,
Xenorhabdus bovienii str. puntauvense,NZ_CAWLWN010000254.1,17357,33867,9.70,1,1,1,1,1,
Xenorhabdus bovienii str. feltiae Moldova,NZ_CAWLWD010000154.1,66643,83225,9.70,1,1,1,1,1,
Xenorhabdus bovienii str. oregonense,NZ_CAWLUU010000175.1,47493,63976,9.70,1,1,1,1,1,
Xenorhabdus bovienii str. kraussei Quebec,NZ_CAWLZI010000016.1,6941,23559,9.70,1,1,1,1,1,
Xenorhabdus bovienii str. feltiae France,NZ_CAWLXC010000169.1,47272,63854,9.70,1,1,1,1,1,
Xenorhabdus bovienii str. feltiae Florida,NZ_CAWLXJ010000110.1,45868,62450,9.70,1,1,1,1,1,
Xenorhabdus bovienii str. kraussei Becker Underwood,NZ_CAWLXS010000020.1,7272,23821,9.70,1,1,1,1,1,
Xenorhabdus bovienii str. Jollieti,NZ_CAWLWO010000131.1,42302,58803,9.70,1,1,1,1,1,
Xenorhabdus aichiensis XENO-7,NZ_JAQRFO010000033.1,8116,24626,9.70,1,1,1,1,1,
Dickeya zeae ZJU1202,NZ_AJVN01000016.1,42508,59158,9.69,1,1,1,1,1,
Dickeya zeae EC1,CP006929.1,1431347,1440794,7.43,0,1,1,1,1,
Dickeya oryzae ZYY5,NZ_ML762923.1,191301,207981,9.69,1,1,1,1,1,
Dickeya solani RNS 05.1.2A,NZ_CP104920.1,3579297,3595811,6.53,1,1,0,1,1,
Dickeya solani A623-S20-A17,NZ_JAIZGA010000001.1,891981,908482,9.69,1,1,1,1,1,
Dickeya solani RNS10-105-1A,NZ_JAPTND010000043.1,81629,98130,9.69,1,1,1,1,1,
Dickeya solani FVG14-S21A17-C8,NZ_JAWLLJ010000010.1,71221,87722,9.69,1,1,1,1,1,
Dickeya solani FVG13-S21A17-D9,NZ_JAWLLK010000006.1,71221,87722,9.69,1,1,1,1,1,
Dickeya solani FVG9-S3-A17-E1,NZ_JAWLLL010000013.1,71221,87722,9.69,1,1,1,1,1,
Dickeya solani FVG2-MFV017-A9,NZ_JAWLLM010000002.1,592758,609259,9.69,1,1,1,1,1,
Dickeya solani RNS 08.23.3.1.A,NZ_CP016928.1,4379566,4396100,9.68,1,1,1,1,1,
Dickeya solani PO3796,NZ_JAWLLI010000005.1,575260,591794,9.68,1,1,1,1,1,
Dickeya solani PO3796,JAWLLI010000005.1,575278,591794,9.68,1,1,1,1,1,
Dickeya solani IPO 2222,CP015137.1,3718802,3735336,9.68,1,1,1,1,1,
Dickeya solani IPO 2222,NZ_CM001859.1,1509186,1525702,9.68,1,1,1,1,1,
Dickeya solani D s0432-1,CP017453.1,1182329,1198863,9.68,1,1,1,1,1,
Dickeya solani D s0432-1,AMWE01000002.1,575597,592131,9.68,1,1,1,1,1,
Dickeya solani D s0432-1,NZ_AMWE01000002.1,575615,592131,9.68,1,1,1,1,1,
Dickeya solani D s0432-1,NZ_CP017453.1,1182329,1198845,9.68,1,1,1,1,1,
Dickeya solani PPO 9019,CP017454.1,1175550,1192084,9.68,1,1,1,1,1,
Dickeya solani PPO 9019,NZ_CP017454.1,1175550,1192066,9.68,1,1,1,1,1,
Dickeya solani IFB0223,CP024710.1,1555321,1571855,9.68,1,1,1,1,1,
Dickeya solani IFB0223,NZ_CP024710.1,1555339,1571855,9.68,1,1,1,1,1,
Dickeya solani IFB 0099,CP024711.1,1558471,1575005,9.68,1,1,1,1,1,
Dickeya solani IFB 0099,NZ_CP024711.1,1558489,1575005,9.68,1,1,1,1,1,
Dickeya solani D12,PGUT01000007.1,5301,21836,6.53,1,1,0,1,1,
Dickeya solani D12,NZ_PGUT01000007.1,5319,21836,6.53,1,1,0,1,1,
Dickeya solani CH05026,JAEKIO010000002.1,54114,70648,9.68,1,1,1,1,1,
Dickeya solani CH05026,NZ_JAEKIO010000002.1,54132,70648,9.68,1,1,1,1,1,
Dickeya solani CH9635-1,JAEKIM010000017.1,55183,71717,9.68,1,1,1,1,1,
Dickeya solani CH9635-1,NZ_JAEKIM010000017.1,55201,71717,9.68,1,1,1,1,1,
Dickeya solani CH07044,JAEKIP010000002.1,31529,48063,9.68,1,1,1,1,1,
Dickeya solani CH07044,NZ_JAEKIP010000002.1,31547,48063,9.68,1,1,1,1,1,
Dickeya solani CH9918-774,JAEKIN010000010.1,94200,110734,9.68,1,1,1,1,1,
Dickeya solani CH9918-774,NZ_JAEKIN010000010.1,94200,110716,9.68,1,1,1,1,1,
Dickeya solani M21a,VZQM01000029.1,55184,71718,9.68,1,1,1,1,1,
Dickeya solani M21a,NZ_VZQM01000029.1,55202,71718,9.68,1,1,1,1,1,
Dickeya solani MIE35,VZQI01000003.1,377095,393629,9.68,1,1,1,1,1,
Dickeya solani MIE35,NZ_VZQI01000003.1,377113,393629,9.68,1,1,1,1,1,
Dickeya solani Sp1a,VZQL01000039.1,42815,59349,9.68,1,1,1,1,1,
Dickeya solani Sp1a,NZ_VZQL01000039.1,42833,59349,9.68,1,1,1,1,1,
Dickeya solani RNS10-27-2A,VZQJ01000009.1,155608,172142,9.68,1,1,1,1,1,
Dickeya solani RNS10-27-2A,NZ_VZQJ01000009.1,155626,172142,9.68,1,1,1,1,1,
Dickeya solani Am3a,VZQK01000010.1,94200,110734,9.68,1,1,1,1,1,
Dickeya solani Am3a,NZ_VZQK01000010.1,94200,110716,9.68,1,1,1,1,1,
Dickeya solani IFB0311,JABAOO010000001.1,1311711,1328245,9.68,1,1,1,1,1,
Dickeya solani IFB0311,NZ_JABAOO010000001.1,1311729,1328245,9.68,1,1,1,1,1,
Dickeya solani IFB0487,JABAOP010000003.1,296262,312796,9.68,1,1,1,1,1,
Dickeya solani IFB0212,JABAON010000001.1,2076692,2093226,9.68,1,1,1,1,1,
Dickeya solani IFB0212,NZ_JABAON010000001.1,2076692,2093208,9.68,1,1,1,1,1,
Dickeya solani F012,PGOJ01000001.1,160286,176820,9.68,1,1,1,1,1,
Dickeya solani F012,NZ_PDVN01000001.1,160286,176802,9.68,1,1,1,1,1,
Dickeya solani IFB0167,CP051457.1,1558476,1575010,9.68,1,1,1,1,1,
Dickeya solani IFB0167,NZ_CP051457.1,1558494,1575010,9.68,1,1,1,1,1,
Dickeya solani IFB0231,CP051458.1,1558476,1575010,9.68,1,1,1,1,1,
Dickeya solani IFB0231,NZ_CP051458.1,1558494,1575010,9.68,1,1,1,1,1,
Dickeya solani IFB0417,CP051459.1,1558212,1574746,9.68,1,1,1,1,1,
Dickeya solani IFB0421,CP051460.1,1558438,1574972,9.68,1,1,1,1,1,
Dickeya solani IFB0421,NZ_CP051460.1,1558456,1574972,9.68,1,1,1,1,1,
Dickeya solani IPO2019,CP071062.1,1558491,1575025,9.68,1,1,1,1,1,
Dickeya solani IPO2019,NZ_CP071062.1,1558509,1575025,9.68,1,1,1,1,1,
Dickeya solani IFB_0158,PENA01000007.1,94234,110768,9.68,1,1,1,1,1,
Dickeya solani IFB_0158,NZ_PENA01000007.1,94234,110750,9.68,1,1,1,1,1,
Dickeya solani IFB_0221,PEMZ01000003.1,94234,110768,9.68,1,1,1,1,1,
Dickeya solani IFB_0221,NZ_PEMZ01000003.1,94234,110750,9.68,1,1,1,1,1,
Dickeya solani MK10,NZ_CM001839.1,1507886,1524402,9.68,1,1,1,1,1,
Dickeya solani MK16,NZ_CM001842.1,1508199,1524715,9.68,1,1,1,1,1,
Dickeya solani GBBC 2040,NZ_CM001860.1,1504705,1521221,9.68,1,1,1,1,1,
Dickeya solani DsR34,NZ_CP110886.2,3718815,3735331,9.68,1,1,1,1,1,
Dickeya solani DsR207,NZ_CP110887.2,3718760,3735276,9.68,1,1,1,1,1,
Dickeya solani RNS15-102-1A,NZ_JAPTMZ010000017.1,94086,110602,9.68,1,1,1,1,1,
Dickeya solani RNS13-48-1A,NZ_JAPTNA010000001.1,54132,70648,9.68,1,1,1,1,1,
Dickeya solani RNS13-31-1A,NZ_JAPTNB010000011.1,37486,54002,9.68,1,1,1,1,1,
Dickeya solani RNS13-0-1B,NZ_JAPTNC010000015.1,54662,71178,9.68,1,1,1,1,1,
Dickeya solani RNS 07.7.3B,NZ_JWLR01000002.1,94237,110753,9.68,1,1,1,1,1,
Dickeya solani PPO 9134,NZ_JWLT01000004.1,959369,975885,9.68,1,1,1,1,1,
Dickeya solani CFBP5647,CP136339.1,2970478,2987000,9.68,1,1,1,1,1,
Dickeya solani CFBP5647,NZ_CP136339.1,2970460,2987000,9.68,1,1,1,1,1,
Dickeya solani IFB0695,NZ_JABAOQ010000003.1,746187,755635,7.43,0,1,1,1,1,
Dickeya sp. MK7,NZ_CM001984.1,1537817,1554296,9.68,1,1,1,1,1,
Dickeya sp. Secpp 1600,NZ_CP023484.1,1578877,1595385,9.68,1,1,1,1,1,
Dickeya sp. NCPPB 3274,NZ_CM001979.1,1547786,1564335,9.68,1,1,1,1,1,
Dickeya fangzhongdai Onc5,NZ_CP080400.1,1567800,1584279,9.68,1,1,1,1,1,
Dickeya fangzhongdai Onc5,CP080400.1,1567782,1584279,9.68,1,1,1,1,1,
Dickeya fangzhongdai B16,NZ_CP087226.1,1568066,1584545,9.68,1,1,1,1,1,
Dickeya fangzhongdai 643b,NZ_CP092458.1,1693244,1709719,9.68,1,1,1,1,1,
Dickeya fangzhongdai J21-2,NZ_CP109768.1,1627777,1644280,9.69,1,1,1,1,1,
Dickeya fangzhongdai M005,JSXD01000002.1,183628,200124,9.68,1,1,1,1,1,
Dickeya fangzhongdai M005,NZ_JSXD01000002.1,183628,200121,9.68,1,1,1,1,1,
Dickeya fangzhongdai ZXC1,NZ_CP119773.1,3185020,3201525,9.68,1,1,1,1,1,
Dickeya fangzhongdai PA1,CP020872.1,1579136,1595645,9.68,1,1,1,1,1,
Dickeya fangzhongdai PA1,NZ_CP020872.1,1579154,1595645,9.68,1,1,1,1,1,
Dickeya fangzhongdai S1,NZ_JXBO02000002.1,724669,741190,9.61,1,1,1,1,1,
Dickeya fangzhongdai 908C,NZ_JADCNJ010000020.1,33735,50217,9.68,1,1,1,1,1,
Dickeya fangzhongdai 908C,JADCNJ010000020.1,33717,50217,9.68,1,1,1,1,1,
Dickeya fangzhongdai AP6,NZ_CP092460.1,1652106,1668594,9.68,1,1,1,1,1,
Dickeya fangzhongdai QZH3,NZ_CP031507.1,1667769,1684257,9.68,1,1,1,1,1,
Dickeya fangzhongdai DSM 101947,CP025003.1,1667852,1684340,9.68,1,1,1,1,1,
Dickeya fangzhongdai DSM 101947,NZ_CP025003.1,1667870,1684340,9.68,1,1,1,1,1,
Dickeya fangzhongdai CGMCC 1.15464,BMJF01000008.1,142966,159454,9.68,1,1,1,1,1,
Dickeya fangzhongdai CGMCC 1.15464,NZ_BMJF01000008.1,142966,159436,9.68,1,1,1,1,1,
Dickeya fangzhongdai LN1,CP031505.1,1667771,1684259,9.68,1,1,1,1,1,
Dickeya fangzhongdai LN1,NZ_CP031505.1,1667789,1684259,9.68,1,1,1,1,1,
Dickeya fangzhongdai LCCT2-1,NZ_CP107065.1,1189646,1206116,9.68,1,1,1,1,1,
Dickeya fangzhongdai NHT-1,NZ_CP107066.1,3858898,3875368,9.68,1,1,1,1,1,
Dickeya fangzhongdai PL145,NZ_CP094338.1,1319431,1335924,6.60,1,1,1,0,1,
Dickeya fangzhongdai ND14b,NZ_CP009460.1,1159084,1175574,9.68,1,1,1,1,1,
Dickeya fangzhongdai ND14b,CP009460.1,1159084,1175577,9.68,1,1,1,1,1,
Dickeya fangzhongdai M074,NZ_JRWY01000011.1,47792,64282,9.68,1,1,1,1,1,
Dickeya fangzhongdai M074,JRWY01000011.1,47789,64282,9.68,1,1,1,1,1,
Dickeya fangzhongdai ECM-1,CP107067.1,1262489,1278984,9.68,1,1,1,1,1,
Dickeya dadantii A622-S1-A17,NZ_JAIZFY010000018.1,130456,146968,9.69,1,1,1,1,1,
Dickeya dadantii FZ06,NZ_CP094943.1,1684446,1701048,9.55,1,1,1,1,1,
Dickeya dadantii S3-1,NZ_CP076386.1,3880252,3889699,7.43,0,1,1,1,1,
Xenorhabdus littoralis Reich,NZ_VCDP01000034.1,62280,78116,9.66,1,1,1,1,1,
Xenorhabdus littoralis Reich,VCDP01000034.1,62280,78116,9.66,1,1,1,1,1,
Xenorhabdus littoralis PSL,NZ_VCDO01000005.1,54601,70575,9.66,1,1,1,1,1,
Xenorhabdus littoralis psl,VCDO01000005.1,54601,70575,9.66,1,1,1,1,1,
Xenorhabdus sp. Flor,NZ_JACXBB010000094.1,33056,48992,9.67,1,1,1,1,1,
Xenorhabdus sp. SGI246,NZ_JBFPEZ010000005.1,17919,33825,9.67,1,1,1,1,1,
Xenorhabdus sp. NBAII XenSa04,NZ_JTHK01000007.1,33012,48924,9.67,1,1,1,1,1,
Xenorhabdus sp. AUT15.5,NZ_JBBMXE010000010.1,257893,273809,9.66,1,1,1,1,1,
Xenorhabdus sp. KJ12.1,NZ_NJCW01000002.1,162402,178198,9.65,1,1,1,1,1,
Xenorhabdus sp. KJ12.1,NJCW01000002.1,162402,178198,9.65,1,1,1,1,1,
Xenorhabdus sp. KK7.4,NZ_NJAH01000006.1,44975,60701,9.65,1,1,1,1,1,
Xenorhabdus sp. PB61.4,NZ_JAGJJW010000010.1,33794,49599,9.65,1,1,1,1,1,
Xenorhabdus sp. PB30.3,NZ_JAGJJV010000025.1,1299,17049,9.65,1,1,1,1,1,
